title , salary , position , working_life , education , company_name , company_type , financing_info , staff_numbers , recruiter_name , recruiter_job 
前端,15k-30k,上海 闵行区 莘庄,3-5年,大专,哈啰出行,互联网,D轮及以上,1000-9999人,富女士,资深招聘专员
web前端,16k-32k,北京 东城区 安定门,经验不限,本科,民生科技,互联网金融,不需要融资,1000-9999人,胡先生,招聘者
前端工程师,10k-20k,广州 天河区 天河公园,3-5年,本科,亿达信息,计算机软件,不需要融资,1000-9999人,詹女士,招聘专员
前端架构师,30k-60k,北京 海淀区 马连洼,3-5年,本科,网易,移动互联网,已上市,10000人以上,马先生,招聘者
前端开发工程师,10k-12k,深圳 南山区 科技园,1-3年,大专,亿达信息,计算机软件,不需要融资,1000-9999人,邓先生,HR
web前端,8k-12k,广州 天河区 员村,1-3年,本科,道一云,互联网,不需要融资,1000-9999人,蒋女士,招聘经理
前端开发工程师,15k-30k,上海 浦东新区 潍坊,3-5年,本科,金服银行科技中心,互联网金融,已上市,10000人以上,韦女士,HR
web前端,7k-14k,西安 长安区 王寺,1-3年,本科,软通动力,计算机软件,已上市,10000人以上,罗女士,HR
web前端,7k-12k,西安  ,1-3年,本科,软通动力信息技术集团,计算机软件,不需要融资,10000人以上,段女士,HR
前端开发,15k-25k,西安 长安区 王寺,3-5年,本科,软通动力,计算机软件,已上市,10000人以上,席先生,招聘专员
前端工程师,7k-12k,惠州  ,1-3年,大专,张玉堂珠宝,电子商务,未融资,100-499人,赖女士,HR
前端工程师,11k-12k,上海 黄浦区 城隍庙,3-5年,大专,新致软件,计算机软件,D轮及以上,1000-9999人,刘女士,招聘主管
前端工程师,15k-30k,北京  ,3-5年,本科,京东集团,电子商务,已上市,10000人以上,刘先生,招聘者
前端工程师,20k-40k,上海 长宁区 古北,1-3年,本科,依图,互联网,C轮,1000-9999人,魏先生,研发工程师
前端,22k-35k,北京  ,5-10年,本科,有用分期,互联网金融,C轮,1000-9999人,何女士,招聘者
前端开发工程师,10k-15k,合肥  ,3-5年,本科,科大讯飞,移动互联网,已上市,10000人以上,杨女士,招聘者
前端开发工程师,15k-20k,广州  ,3-5年,大专,软通动力,计算机软件,已上市,10000人以上,单先生,招聘顾问
前端开发,6k-7k,大连  ,1-3年,学历不限,纬创软件,计算机软件,已上市,1000-9999人,张女士,招聘专员
web前端,11k-16k,佛山  ,经验不限,大专,武汉佰钧成,计算机软件,不需要融资,10000人以上,熊女士,HR
web前端,15k-30k,深圳 龙岗区 坂田,1年以内,本科,华为,计算机软件,不需要融资,10000人以上,曾先生,招聘者
WEB前端,8k-13k,南京 浦口区 江浦,3-5年,本科,世纪恒通,移动互联网,不需要融资,1000-9999人,方女士,招聘专员
前端工程师,8k-13k,成都 青羊区 太升路,3-5年,本科,赢时胜,计算机软件,已上市,1000-9999人,毛先生,经理
web前端,20k-40k,上海 浦东新区 张江,1-3年,本科,百度,互联网,已上市,10000人以上,张先生,研发工程师
高级前端,20k-35k,北京 朝阳区 望京,3-5年,本科,火花思维,在线教育,C轮,1000-9999人,梁女士,招聘主管
web前端工程师,11k-16k,南京 雨花台区 铁心桥,3-5年,大专,金证股份,计算机软件,已上市,1000-9999人,陈女士,招聘主管
前端,5k-6k,成都 成华区 驷马桥,1-3年,大专,居天下地产,地产经纪/中介,未融资,100-499人,邓先生,网络总监
前端开发工程师,15k-30k,上海 杨浦区 周家嘴路,5-10年,本科,UCloud,互联网,D轮及以上,1000-9999人,何女士,人事主管
前端工程师,12k-24k,海口  ,1-3年,大专,音达科技,通信/网络设备,未融资,1000-9999人,刘女士,HR
前端,12k-18k,杭州 余杭区 仓前,3-5年,本科,海翊,互联网,未融资,100-499人,赵女士,HR
前端工程师-金融组,15k-30k,成都 武侯区 中和,3-5年,本科,客如云,互联网,已上市,1000-9999人,,HRBP
web前端,10k-20k,杭州  ,3-5年,本科,软通动力,计算机软件,已上市,10000人以上,张女士,招聘专员
前端开发,10k-15k,广州 海珠区 新港,3-5年,大专,文思海辉,计算机软件,已上市,10000人以上,钟女士,招聘者
高级前端工程师,15k-20k,青岛  ,5-10年,本科,海尔集团,互联网,已上市,10000人以上,王先生,开发资源池经理
web前端工程师,9k-16k,西安  ,1-3年,本科,软通动力,计算机软件,已上市,10000人以上,郗女士,人事招聘
web前端,15k-30k,深圳 龙岗区 万科,3-5年,大专,软通动力,计算机软件,已上市,10000人以上,黄女士,高级招聘顾问
H5前端开发专家,25k-50k,北京 朝阳区 呼家楼,经验不限,本科,蚂蚁金服,互联网,C轮,10000人以上,文女士,招聘者
web前端,15k-30k,广州 天河区 华景新城,1-3年,本科,腾讯,互联网,已上市,10000人以上,喻女士,HR
web前端工程师,25k-35k,上海 长宁区 天山,3-5年,本科,深兰科技,智能硬件,B轮,1000-9999人,吕先生,招聘者
web 前端,10k-15k,北京 西城区 金融街,3-5年,本科,绛门科技,计算机软件,已上市,500-999人,汪女士,招聘专员
前端实习生,2k-4k,广州 天河区 员村,经验不限,本科,道一云,互联网,不需要融资,1000-9999人,周女士,招聘专员
前端开发,15k-30k,南京 栖霞区 仙林,5-10年,本科,小黑鱼,互联网,A轮,500-999人,李先生,小黑鱼商城总监
高级前端工程师,10k-20k,北京 朝阳区 酒仙桥,3-5年,本科,自如网,O2O,A轮,10000人以上,李女士,招聘者
前端工程师,9k-15k,福州  ,3-5年,本科,朴朴,互联网,B轮,1000-9999人,施女士,招聘专员
高级前端工程师,20k-35k,杭州 余杭区 仓前,3-5年,本科,阿里巴巴集团,互联网,不需要融资,10000人以上,吴先生,前端开发专家
前端,5k-10k,济南 历下区 华龙路,3-5年,大专,神码中税,计算机软件,未融资,100-499人,万女士,财务助理
高级前端开发工程师,15k-25k,武汉 洪山区 光谷,3-5年,本科,北京尚德机构,在线教育,已上市,10000人以上,冯先生,招聘经理
web前端,7k-12k,杭州  ,1年以内,本科,G宠街,移动互联网,天使轮,100-499人,张先生,创始人兼CEO
高级前端工程师,20k-40k,深圳 罗湖区 万象城,3-5年,本科,金服银行科技中心,互联网金融,已上市,10000人以上,郑女士,HRBP-深圳总行
前端开发专家,30k-60k,杭州  ,5-10年,本科,淘宝,移动互联网,已上市,1000-9999人,吴先生,招聘者
前端工程师 - web方向,15k-28k,北京 朝阳区 来广营,3-5年,本科,火花思维,在线教育,C轮,1000-9999人,梁女士,招聘主管
前端开发,6k-8k,大连  ,3-5年,大专,纬创软件,计算机软件,已上市,1000-9999人,金女士,招聘专员
前端工程师,18k-35k,北京 海淀区 上地,3-5年,本科,闪送,移动互联网,D轮及以上,500-999人,刘女士,HRBP
web前端,20k-30k,北京 朝阳区 亮马桥,3-5年,本科,阿里影业,音乐/视频/阅读,已上市,500-999人,薛先生,技术
前端,13k-23k,北京 朝阳区 三元桥,1-3年,大专,博彦科技,计算机软件,已上市,1000-9999人,陈女士,招聘专员
前端工程师,10k-15k,杭州 西湖区 古荡,经验不限,本科,涂鸦智能,智能硬件,C轮,1000-9999人,王先生,前端开发
前端工程师,15k-30k,上海 浦东新区 塘桥,5-10年,本科,万得,数据服务,不需要融资,1000-9999人,计先生,hrbp
前端工程师,20k-30k,杭州 西湖区 古墩路,3-5年,本科,小余小余教育,移动互联网,C轮,1000-9999人,陈先生,HR
前端熟手,8k-16k,成都 武侯区 红牌楼,1年以内,本科,金口碑网络科技,广告营销,未融资,100-499人,龙先生,ceo
前端（Web+H5）,12k-16k,上海 长宁区 北新泾,1年以内,本科,携程旅行网,互联网,已上市,10000人以上,陈女士,HR
前端开发工程师,10k-15k,珠海  ,3-5年,本科,赞同科技,互联网,不需要融资,1000-9999人,杨女士,招聘
web前端,10k-15k,杭州 滨江区 长河,1-3年,本科,软通动力,计算机软件,已上市,10000人以上,高女士,HR
web前端,25k-50k,北京 海淀区 马连洼,经验不限,本科,百度,互联网,已上市,10000人以上,郎先生,资深前端工程师
web前端,11k-18k,南京 玄武区 孝陵卫,1-3年,本科,中电集团28所,计算机软件,不需要融资,1000-9999人,石女士,经理
前端,10k-15k,北京 海淀区 五道口,1-3年,本科,软通动力,计算机软件,已上市,10000人以上,杨女士,招聘者
