title , salary , position , working_life , education , company_name , company_type , financing_info , staff_numbers , recruiter_name , recruiter_job 
嵌入式软件工程师,12k-22k,广州 天河区 岑村,5-10年,本科,亚美科技,计算机软件,不需要融资,500-999人,薛女士,招聘者
嵌入式软件工程师,9k-14k,深圳 南山区 科技园,1-3年,本科,科陆电子,计算机软件,已上市,1000-9999人,徐女士,招聘专员
高级嵌入式软件工程师,15k-30k,上海 闵行区 七宝,3-5年,本科,乐韵瑞(Linkplay),计算机软件,C轮,100-499人,杨女士,人事经理
嵌入式软件工程师,8k-12k,珠海  ,1-3年,本科,格力电器,其他行业,已上市,10000人以上,陈先生,招聘者
嵌入式讲师,8k-13k,南京 秦淮区 五老村,1-3年,大专,华清远见,培训机构,不需要融资,500-999人,王女士,招聘者
嵌入式软件工程师,9k-14k,重庆 渝北区 回兴,5-10年,本科,金山科技,医疗健康,不需要融资,500-999人,肖先生,招聘主管
嵌入式软件工程师,12k-24k·14薪,杭州  ,1-3年,本科,浙江大华,互联网,已上市,10000人以上,陆先生,HRBP
嵌入式软件工程师,6k-12k,成都 郫都区 高新西,1-3年,本科,富临精工先进传感器,汽车生产,已上市,1000-9999人,王先生,HR
嵌入式,4k-7k,西安 长安区 郭杜,5-10年,本科,航光测控,通信/网络设备,不需要融资,20-99人,金先生,总经理
嵌入式,8k-15k,威海  ,1-3年,大专,晶合,计算机软件,不需要融资,20-99人,王先生,经理
嵌入式软件工程师,6k-11k,广州 天河区 石牌,1-3年,本科,致远电子,智能硬件,未融资,1000-9999人,陈女士,招聘专员
嵌入式软件开发,20k-30k,杭州 滨江区 长河,5-10年,本科,华为,计算机软件,不需要融资,10000人以上,陈先生,招聘者
嵌入式,10k-15k,上海 松江区 车墩,5-10年,本科,汇聚自动化,仪器仪表/工业自动化,未融资,100-499人,诸女士,人事经理
嵌入式系统开发工程师,6k-8k,济南 历城区 唐冶,3-5年,本科,积成电子,电子/半导体/集成电路,已上市,1000-9999人,崔女士,HR
嵌入式驱动开发,15k-23k,武汉 洪山区 光谷,5-10年,本科,中元华电,智能硬件,已上市,100-499人,陈女士,招聘顾问
嵌入式,15k-25k,大连  ,3-5年,大专,元拓科技,计算机软件,不需要融资,100-499人,朱女士,人事总监
嵌入式,13k-25k·15薪,杭州 滨江区 西兴,经验不限,本科,海康威视,计算机软件,已上市,10000人以上,汪女士,HRBP
嵌入式,6k-12k,扬州  ,1-3年,学历不限,恒通集团,智能硬件,暂无信息,100-499人,胡先生,招聘者
嵌入式软件工程师,7k-12k,南京  ,1-3年,本科,北京宇天恒瑞科技...,智能硬件,未融资,20-99人,胡女士,HR
嵌入式软件工程师,9k-15k,深圳 南山区 科技园,5-10年,本科,深圳灵畅互动,智能硬件,未融资,100-499人,熊女士,招聘者
嵌入式驱动工程师,15k-25k,上海 青浦区 徐泾,3-5年,本科,华测,通信/网络设备,已上市,1000-9999人,王女士,HR
嵌入式,15k-25k,北京  ,5-10年,本科,京东集团,电子商务,已上市,10000人以上,尚先生,软件开发工程师
嵌入式软件工程师,10k-15k·14薪,重庆 渝北区 大竹林,经验不限,本科,紫光华智,计算机软件,未融资,1000-9999人,张女士,hr
嵌入式,3k-6k,济南 天桥区 泺口,1年以内,本科,信盈达,智能硬件,未融资,100-499人,汪女士,hr
嵌入式,15k-30k,广州 黄埔区 科学城,1-3年,本科,广州视睿,计算机软件,已上市,1000-9999人,钟先生,软件工程师
嵌入式测试 工程师,6k-10k,深圳 南山区 科技园,1-3年,本科,科陆电子,计算机软件,已上市,1000-9999人,徐女士,招聘专员
嵌入式软件开发,7k-8k,杭州 西湖区 文一路,1-3年,本科,华云科技,计算机软件,不需要融资,1000-9999人,薛女士,人事专员
嵌入式软件工程师,10k-18k,温州  ,1-3年,本科,浙江力邦合信,汽车零部件,未融资,1000-9999人,伍先生,招聘经理
嵌入式C++工程师,10k-15k,成都 武侯区 石羊,3-5年,本科,哈曼智联科技有限公司,计算机软件,不需要融资,500-999人,谭女士,HR
嵌入式软件工程师,10k-20k,成都 武侯区 新会展,经验不限,本科,芯原(成都),电子/半导体/集成电路,未融资,500-999人,胡女士,Recruiting Manager
嵌入式,8k-13k,珠海  ,5-10年,大专,惠威科技,家具/家电/家居,已上市,500-999人,蒋女士,人事主管
嵌入式软件工程师,6k-10k,南宁  ,经验不限,本科,信路威,智能硬件,未融资,500-999人,梁女士,人力资源主管
嵌入式工程师,5k-10k,天津 西青区 王顶堤,1-3年,本科,天津同阳科技,环保,不需要融资,100-499人,刘女士,人力资源专员
嵌入式,4k-8k,金华  ,3-5年,本科,晗琨电子科技有限公司,智能硬件,天使轮,20-99人,支先生,总经理
嵌入式系统软件工程师,5k-10k,沈阳  ,经验不限,学历不限,东软睿驰,汽车生产,已上市,10000人以上,张先生,HRBP
高级嵌入式软件工程师,15k-25k,北京 海淀区 香山,5-10年,本科,旋极信息,互联网,已上市,1000-9999人,杨先生,人力资源助理
