title , salary ,city,position, working_life , education , company_name , company_type , financing_info , staff_numbers , recruiter_name 
产品专员,5-10K,广州,1年以内,本科,明世教育,在线教育,未融资,1000-9999人,叶女士,招聘主管
产品经理,10-15K,郑州,5-10年,本科,思念食品,贸易/进出口,未融资,10000人以上,姚女士,人力资源总监
产品经理,15-30K,南京,5-10年,本科,Suning,批发/零售,已上市,10000人以上,马先生,高级产品经理
产品专家,25-40K,上海,3-5年,本科,饿了么,O2O,不需要融资,10000人以上,王先生,产品专家
产品经理,10-15K,深圳,3-5年,本科,环球易购,电子商务,已上市,1000-9999人,罗先生,产品经理
产品助理,2-4K,北京,应届生,硕士,京东集团,电子商务,已上市,10000人以上,刘先生,高级产品经理
产品经理,13-26K,南京,3-5年,本科,苏宁易购,电子商务,已上市,10000人以上,叶先生,产品经理
产品专员,8-10K,上海,1-3年,大专,上海万户网络,计算机软件,已上市,500-999人,曹女士,人事专员
产品经理,13-26K,南京,3-5年,本科,苏宁,计算机软件,已上市,10000人以上,杨先生,招聘者
产品专员,3-8K,重庆,经验不限,学历不限,名都丰盛旅游,政府/公共事业,不需要融资,1000-9999人,张先生,主管
产品经理,20-40K,深圳,3-5年,本科,vivo,移动互联网,不需要融资,10000人以上,顾先生,项目经理
产品经理,9-12K,重庆,1-3年,大专,百弗英语,培训机构,不需要融资,1000-9999人,周女士,HR
产品经理,6-12K,长沙,1年以内,本科,海信网络科技,计算机软件,不需要融资,1000-9999人,王先生,产品经理
产品助理,4-5K,眉山,经验不限,大专,吉香居,企业服务,未融资,1000-9999人,吴女士,招聘者
产品总监,40-60K,北京,5-10年,本科,东软睿驰,汽车生产,已上市,10000人以上,暂无信息,暂无信息
产品经理,25-40K,北京,5-10年,本科,京东集团,电子商务,已上市,10000人以上,杜先生,高级技术专家
产品总监,40-70K,北京,5-10年,本科,贝壳找房,互联网,D轮及以上,10000人以上,暂无信息,暂无信息
高级产品经理,20-40K,北京,3-5年,本科,尚德机构,互联网,已上市,10000人以上,肖先生,尚德研发中心HRBP
产品经理（VSS）,20-30K,北京,5-10年,本科,万科链家装饰,工程施工,不需要融资,1000-9999人,马女士,HR
产品经理,15-25K,青岛,5-10年,本科,海尔集团,互联网,已上市,10000人以上,徐女士,人力资源
产品经理,12-24K,南京,经验不限,本科,苏宁易购,电子商务,已上市,10000人以上,祁先生,招聘者
产品经理,5-8K,福州,1-3年,大专,双驰智能,智能硬件,不需要融资,1000-9999人,俞先生,产品总监
产品经理,4-5K,福州,3-5年,本科,大串想,物流/仓储,A轮,100-499人,刘先生,总经理
产品专员,5-10K,青岛,1-3年,本科,青岛中瑞集团,互联网,不需要融资,1000-9999人,周先生,产品经理
产品经理,15-30K,上海,3-5年,本科,复星集团,互联网,已上市,10000人以上,暂无信息,暂无信息
产品运营经理,15-30K,杭州,3-5年,本科,我主良缘婚姻服务公司,生活服务,不需要融资,1000-9999人,余女士,人事专员
产品经理,20-40K,北京,3-5年,本科,威马,互联网,C轮,1000-9999人,暂无信息,暂无信息
产品主管,8-13K·13薪,杭州,3-5年,大专,吃货家电子商务,分类信息,未融资,100-499人,韩女士,人事
产品经理,15-30K,北京,5-10年,本科,京东数字科技,互联网,B轮,1000-9999人,肖先生,产品经理
产品经理,6-8K,南京,3-5年,本科,东信北邮,移动互联网,未融资,1000-9999人,于女士,招聘经理
产品经理,12-20K·13薪,深圳,3-5年,大专,傲基电子商务,电子商务,B轮,1000-9999人,莫女士,hr
产品总监,20-40K,杭州,5-10年,本科,云车金融,互联网,不需要融资,1000-9999人,袁女士,人力资源专员
产品经理,20-30K,广州,5-10年,本科,欧派集团,工程施工,已上市,10000人以上,任先生,招聘顾问
产品经理,8-10K,福州,3-5年,本科,福州美莱,医疗健康,不需要融资,10000人以上,陈女士,HR
NPI新产品导入,8-12K,潍坊,3-5年,大专,歌尔,智能硬件,已上市,10000人以上,张先生,招聘经理
产品专员,6-10K,广州,1-3年,本科,棒谷科技,电子商务,未融资,1000-9999人,何女士,招聘专员
产品经理,12-20K,上海,3-5年,本科,博泰(PATEO),智能硬件,B轮,500-999人,曾女士,招聘
产品经理,15-20K·16薪,上海,1-3年,本科,携程旅行网,互联网,已上市,10000人以上,杨女士,HRBP
产品经理,15-25K,上海,1-3年,学历不限,追书神器,互联网,不需要融资,100-499人,马先生,招聘经理
产品经理,5-10K,石家,1-3年,本科,东信北邮,移动互联网,未融资,1000-9999人,于女士,招聘经理
产品经理,10-11K,杭州,3-5年,本科,正方软件,计算机软件,未融资,100-499人,佩女士,人事招聘
产品经理,12-18K,北京,3-5年,本科,柯莱特集团,计算机软件,已上市,1000-9999人,何女士,招聘者
产品运营,9-14K,东莞,1-3年,本科,软通动力,计算机软件,已上市,10000人以上,辛先生,人事专员
产品专员,4-5K,石家,1-3年,大专,君乐宝乳业,电子商务,不需要融资,1000-9999人,李女士,人事专员
