title , salary , position , working_life , education , company_name , company_type , financing_info , staff_numbers , recruiter_name , recruiter_job 
系统运维工程师,15k-30k,杭州 滨江区 长河,1-3年,大专,宇石网络,互联网,B轮,500-999人,厉女士,招聘专员
手游运维工程师,10k-18k,上海 徐汇区 漕河泾,3-5年,本科,garena,互联网,已上市,1000-9999人,徐先生,HR
软件运维工程师,7k-12k,杭州 西湖区 黄龙,1-3年,本科,孚嘉科技,移动互联网,A轮,100-499人,张女士,HR
运维工程师,6k-10k·13薪,上海 徐汇区 漕河泾,1-3年,大专,派拉软件,移动互联网,已上市,100-499人,吴女士,HR
B-SDN运维,6k-12k,北京 西城区 宣武门,经验不限,本科,成都贝尔,通信/网络设备,不需要融资,500-999人,杨女士,人事
运维工程师,7k-11k,南昌  ,1-3年,大专,天玑科技,数据服务,已上市,500-999人,张女士,人事专员
实施运维工程师,7k-12k,深圳 福田区 莲花,1-3年,本科,赢时胜,计算机软件,已上市,1000-9999人,陈女士,招聘专员
系统运维工程师,4k-6k,宜昌 点军区 ,1-3年,本科,东土科技,通信/网络设备,已上市,1000-9999人,黄女士,HRBP
运维开发工程师,18k-36k,深圳 南山区 科技园,5-10年,本科,腾讯,互联网,已上市,10000人以上,熊女士,招聘者
运维工程师,8k-12k,成都 武侯区 神仙树,1-3年,本科,中国网安,信息安全,不需要融资,1000-9999人,付女士,行政人事
运维工程师,20k-30k,北京 朝阳区 小营,1-3年,本科,京东集团,电子商务,已上市,10000人以上,董先生,招聘者
运维负责人,28k-45k,上海 长宁区 中山公园,5-10年,本科,乐贝,电子商务,不需要融资,1000-9999人,王女士,招聘者
网络运维工程师,12k-20k,杭州 西湖区 转塘,3-5年,本科,软通动力,计算机软件,已上市,10000人以上,秦先生,招聘主管
核心下移系统运维,8k-13k,北京 朝阳区 十里堡,3-5年,本科,宇信科技,计算机软件,已上市,1000-9999人,陈女士,招聘专员
运维工程师,10k-20k,深圳 龙华区 民治,3-5年,本科,富士康,互联网,已上市,10000人以上,尚先生,资深专理
运维工程师,3k-6k,广州 天河区 龙口,经验不限,大专,神州信息,互联网,已上市,1000-9999人,周先生,项目经理
运维工程师,13k-26k,广州  ,1-3年,本科,多益网络,互联网,不需要融资,1000-9999人,李先生,招聘经理
运维工程师,8k-15k,合肥  ,经验不限,本科,科大讯飞,移动互联网,已上市,10000人以上,朱先生,招聘者
运维经理,30k-45k,上海 杨浦区 东外滩,5-10年,本科,达达-京东到家,O2O,D轮及以上,1000-9999人,朱先生,招聘者
运维工程师,4k-6k,佛山 三水区 ,1-3年,大专,神州信息,互联网,已上市,1000-9999人,孙先生,高级项目经理
运维经理,25k-35k,北京 朝阳区 十里堡,5-10年,本科,绿洲游戏,移动互联网,已上市,100-499人,艾女士,hrbp
系统运维,6k-10k,济南 历下区 奥体中心,1-3年,本科,武汉佰钧成,计算机软件,不需要融资,10000人以上,周女士,招聘专员
桌面运维工程师,5k-7k,深圳 南山区 科技园,1-3年,本科,神州信息,计算机软件,已上市,1000-9999人,郑女士,HRBP
运维工程师,7k-14k,南京 鼓楼区 建宁路,1-3年,本科,天阙,互联网,未融资,500-999人,李女士,人事
运维工程师,15k-25k,北京 大兴区 ,3-5年,本科,京东集团,电子商务,已上市,10000人以上,程女士,招聘经理
运维工程师,8k-15k,南京 建邺区 小行,1-3年,本科,小米,互联网,已上市,10000人以上,史先生,运维主管
运维工程师,5k-6k,南宁  ,经验不限,本科,东华软件,计算机软件,已上市,1000-9999人,吴先生,招聘者
运维工程师,7k-14k,厦门  ,3-5年,本科,网宿科技,互联网,已上市,1000-9999人,郑女士,HRBP
运维工程师,20k-40k,深圳 南山区 深圳湾,1-3年,本科,OPPO,互联网,不需要融资,10000人以上,叶先生,运维总监
频道运维主管,8k-10k,北京  ,5-10年,本科,岩华文化,音乐/视频/阅读,A轮,100-499人,杨先生,HRM
云运维工程师,10k-15k,杭州 西湖区 三墩,1-3年,本科,江苏达科,通信/网络设备,不需要融资,500-999人,周女士,HR
运维接口人,8k-13k,大连  ,经验不限,本科,弘成教育,互联网,D轮及以上,1000-9999人,巩女士,HR
运维工程师,6k-10k,福州  ,1-3年,大专,远光,互联网,已上市,1000-9999人,徐女士,hrbp
运维经理,15k-20k,上海 浦东新区 世纪公园,经验不限,学历不限,逸景营地投资有限公司,投资/融资,暂无信息,100-499人,李女士,人事经理
桌面运维,5k-7k,厦门 湖里区 万达广场,1-3年,大专,护航诺维信息科技,计算机服务,已上市,500-999人,喻女士,人事经理
运维工程师,8k-12k,北京 海淀区 西北旺,1-3年,本科,北京用友政务,计算机软件,已上市,1000-9999人,冯先生,技术支持总监
运维工程师,5k-10k,珠海  ,经验不限,大专,四创软件,计算机软件,C轮,500-999人,罗女士,HR
运维工程师,6k-10k,西宁  ,3-5年,本科,绛门科技,计算机软件,已上市,500-999人,沈女士,人力资源招聘专员
运维工程师,7k-9k,深圳 南山区 科技园,3-5年,大专,文思海辉技术有限公司,计算机软件,不需要融资,10000人以上,刘女士,HR
运维工程师,5k-10k,南京 雨花台区 安德门,1-3年,本科,明源云,计算机软件,已上市,1000-9999人,姚先生,客户经理
运维工程师,4k-5k·13薪,乌鲁木齐  ,1-3年,大专,上海西信信息,企业服务,已上市,100-499人,李女士,人事经理
运维,10k-12k,上海 徐汇区 虹梅路,3-5年,大专,健坤教育,在线教育,不需要融资,20-99人,巩女士,总助
运维工程师,10k-15k,广州 越秀区 水荫,3-5年,大专,聚焦网络,互联网,不需要融资,500-999人,,人事总监
运维工程师,5k-10k,西宁  ,1年以内,大专,陕西税友,计算机软件,不需要融资,1000-9999人,朱女士,人力主管
运维开发,10k-20k,武汉 江夏区 流芳,1-3年,本科,小米科技有限责任公司,移动互联网,已上市,10000人以上,,HR
运维,9k-12k,西安  ,1-3年,本科,软通动力,计算机软件,已上市,10000人以上,陈女士,招聘顾问
运维,5k-10k,大连  ,1-3年,本科,纬创软件,计算机软件,已上市,1000-9999人,那女士,招聘专员
运维总监,45k-75k,杭州 西湖区 文一路,5-10年,本科,e签宝,企业服务,B轮,100-499人,廖先生,招聘者
运维工程师,28k-40k,上海 长宁区 虹桥,5-10年,本科,热璞科技,数据服务,B轮,100-499人,姜女士,研发总监
运维实习,2k-4k,南京 江宁区 东山,经验不限,本科,孩子王,互联网,C轮,10000人以上,陈女士,HRBP
桌面运维 嘉兴,5k-7k,嘉兴  ,1-3年,大专,护航诺维信息科技,计算机服务,已上市,500-999人,喻女士,人事经理
运维工程师-嘉兴,4k-6k,嘉兴  ,1-3年,大专,好未来,互联网,已上市,10000人以上,田女士,HR
linux运维工程师,8k-16k,廊坊 广阳区 ,1-3年,本科,软通动力,计算机软件,已上市,10000人以上,刘先生,招聘
运维工程师-嘉兴,4k-6k,嘉兴  ,1-3年,大专,好未来,互联网,已上市,10000人以上,何女士,HRBP/招聘经理
运维工程师,3k-6k,南京 玄武区 珠江路,经验不限,中专/中技,浦思金融,企业服务,C轮,1000-9999人,金先生,招聘者
运维工程师,4k-6k,济南 历城区 华龙路,1-3年,本科,天得教育,计算机服务,未融资,20-99人,郭先生,招聘者
SH-SDN运维工程师,6k-11k,上海 杨浦区 五角场,经验不限,本科,成都贝尔,通信/网络设备,不需要融资,500-999人,杨女士,人事
运维工程师,4k-7k,沈阳  ,1-3年,大专,鹏凌程,计算机服务,不需要融资,500-999人,刘女士,Boss
运维开发工程师,10k-15k,上海 长宁区 机场,5-10年,本科,东方航空,计算机软件,已上市,10000人以上,瞿女士,IT开发
运维工程师,15k-25k,成都 武侯区 华阳,经验不限,本科,深圳街电,移动互联网,B轮,1000-9999人,杨先生,HR
运维工程师,8k-12k,乌鲁木齐  ,1年以内,本科,新疆税友,计算机软件,未融资,100-499人,赵先生,主管
数据库运维,7k-11k,武汉 江夏区 ,1-3年,本科,中软国际,计算机软件,已上市,1000-9999人,程女士,HR
运维工程师,12k-24k,深圳  ,3-5年,本科,网联,互联网金融,不需要融资,100-499人,梁先生,系统工程师
运维工程师,4k-6k,昆明  ,1-3年,本科,远信科技,互联网,未融资,500-999人,周女士,人资专员
运维工程师,9k-14k,北京 海淀区 田村,3-5年,本科,新奥特,互联网,已上市,500-999人,田先生,技术总监
运维,8k-13k,成都 郫都区 高新西,1-3年,本科,中软国际,计算机软件,已上市,1000-9999人,樊女士,招聘者
运维工程师,15k-25k,深圳 南山区 深圳湾,经验不限,本科,OPPO,互联网,不需要融资,10000人以上,钟先生,人力资源专员
